"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [679.995849609375, 513.8439331054688], [687.23046875, 556.4998168945312], [0.0, 0.0], [640.4762573242188, 610.189453125], [0.0, 0.0], [567.8641967773438, 507.599609375], [1193.1162109375, 494.18011474609375], [1197.4239501953125, 550.9097290039062], [1469.094970703125, 318.7349853515625], [1511.2562255859375, 335.0533142089844], [1684.046142578125, 560.7698364257812], [1684.603515625, 633.30078125]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [672.4202880859375, 514.6856689453125], [677.4744262695312, 556.0823364257812], [0.0, 0.0], [634.1651611328125, 608.8927612304688], [0.0, 0.0], [567.595703125, 508.9996337890625], [1189.241943359375, 494.1416015625], [1192.9014892578125, 551.0911254882812], [1470.250732421875, 319.9503479003906], [1512.20068359375, 335.854736328125], [1684.6717529296875, 562.275634765625], [1686.4573974609375, 636.0462036132812]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.7279052734375, 510.48834228515625], [672.6097412109375, 554.0762329101562], [0.0, 0.0], [626.432861328125, 615.3858032226562], [0.0, 0.0], [562.515380859375, 509.26409912109375], [1182.528076171875, 494.5347900390625], [1187.58154296875, 552.51171875], [1476.260009765625, 326.1575927734375], [1517.5218505859375, 339.1782531738281], [1683.2845458984375, 563.5987548828125], [1686.2083740234375, 639.3516845703125]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [669.3580322265625, 510.0260009765625], [674.499267578125, 554.6534423828125], [0.0, 0.0], [630.228271484375, 615.986083984375], [0.0, 0.0], [563.0822143554688, 509.47760009765625], [1184.4190673828125, 493.48590087890625], [1189.6785888671875, 551.6473388671875], [1477.12451171875, 326.23370361328125], [1517.888427734375, 339.6298828125], [1685.82080078125, 562.7404174804688], [1687.052490234375, 638.6256103515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.6287841796875, 507.1017150878906], [673.5401000976562, 554.250244140625], [0.0, 0.0], [616.2017822265625, 619.9323120117188], [0.0, 0.0], [555.927001953125, 506.7547302246094], [1182.0400390625, 494.2803955078125], [1186.866943359375, 554.23486328125], [1477.8487548828125, 325.14752197265625], [1519.45458984375, 340.1572265625], [1683.1402587890625, 564.1004028320312], [1686.203857421875, 642.162353515625]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [672.4202880859375, 514.6856689453125], [677.4744262695312, 556.0823364257812], [0.0, 0.0], [634.1651611328125, 608.8927612304688], [0.0, 0.0], [567.595703125, 508.9996337890625], [1189.241943359375, 494.1416015625], [1192.9014892578125, 551.0911254882812], [1470.250732421875, 319.9503479003906], [1512.20068359375, 335.854736328125], [1684.6717529296875, 562.275634765625], [1686.4573974609375, 636.0462036132812]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.7279052734375, 510.48834228515625], [672.6097412109375, 554.0762329101562], [0.0, 0.0], [626.432861328125, 615.3858032226562], [0.0, 0.0], [562.515380859375, 509.26409912109375], [1182.528076171875, 494.5347900390625], [1187.58154296875, 552.51171875], [1476.260009765625, 326.1575927734375], [1517.5218505859375, 339.1782531738281], [1683.2845458984375, 563.5987548828125], [1686.2083740234375, 639.3516845703125]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [669.3580322265625, 510.0260009765625], [674.499267578125, 554.6534423828125], [0.0, 0.0], [630.228271484375, 615.986083984375], [0.0, 0.0], [563.0822143554688, 509.47760009765625], [1184.4190673828125, 493.48590087890625], [1189.6785888671875, 551.6473388671875], [1477.12451171875, 326.23370361328125], [1517.888427734375, 339.6298828125], [1685.82080078125, 562.7404174804688], [1687.052490234375, 638.6256103515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.6287841796875, 507.1017150878906], [673.5401000976562, 554.250244140625], [0.0, 0.0], [616.2017822265625, 619.9323120117188], [0.0, 0.0], [555.927001953125, 506.7547302246094], [1182.0400390625, 494.2803955078125], [1186.866943359375, 554.23486328125], [1477.8487548828125, 325.14752197265625], [1519.45458984375, 340.1572265625], [1683.1402587890625, 564.1004028320312], [1686.203857421875, 642.162353515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.132080078125, 507.86077880859375], [670.922119140625, 554.2470703125], [0.0, 0.0], [614.455078125, 620.48193359375], [0.0, 0.0], [557.4142456054688, 507.88568115234375], [1178.0960693359375, 496.51708984375], [1183.3931884765625, 556.4606323242188], [1475.9893798828125, 323.65838623046875], [1517.030517578125, 338.4483337402344], [1681.17919921875, 565.5663452148438], [1685.9036865234375, 642.35107421875]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.7279052734375, 510.48834228515625], [672.6097412109375, 554.0762329101562], [0.0, 0.0], [626.432861328125, 615.3858032226562], [0.0, 0.0], [562.515380859375, 509.26409912109375], [1182.528076171875, 494.5347900390625], [1187.58154296875, 552.51171875], [1476.260009765625, 326.1575927734375], [1517.5218505859375, 339.1782531738281], [1683.2845458984375, 563.5987548828125], [1686.2083740234375, 639.3516845703125]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [669.3580322265625, 510.0260009765625], [674.499267578125, 554.6534423828125], [0.0, 0.0], [630.228271484375, 615.986083984375], [0.0, 0.0], [563.0822143554688, 509.47760009765625], [1184.4190673828125, 493.48590087890625], [1189.6785888671875, 551.6473388671875], [1477.12451171875, 326.23370361328125], [1517.888427734375, 339.6298828125], [1685.82080078125, 562.7404174804688], [1687.052490234375, 638.6256103515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.6287841796875, 507.1017150878906], [673.5401000976562, 554.250244140625], [0.0, 0.0], [616.2017822265625, 619.9323120117188], [0.0, 0.0], [555.927001953125, 506.7547302246094], [1182.0400390625, 494.2803955078125], [1186.866943359375, 554.23486328125], [1477.8487548828125, 325.14752197265625], [1519.45458984375, 340.1572265625], [1683.1402587890625, 564.1004028320312], [1686.203857421875, 642.162353515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.132080078125, 507.86077880859375], [670.922119140625, 554.2470703125], [0.0, 0.0], [614.455078125, 620.48193359375], [0.0, 0.0], [557.4142456054688, 507.88568115234375], [1178.0960693359375, 496.51708984375], [1183.3931884765625, 556.4606323242188], [1475.9893798828125, 323.65838623046875], [1517.030517578125, 338.4483337402344], [1681.17919921875, 565.5663452148438], [1685.9036865234375, 642.35107421875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.3128051757812, 507.6777648925781], [671.1221313476562, 554.549072265625], [0.0, 0.0], [615.4463500976562, 619.2891845703125], [0.0, 0.0], [555.9762573242188, 507.21368408203125], [1178.4598388671875, 495.98150634765625], [1183.8341064453125, 556.1644287109375], [1477.1015625, 323.6483154296875], [1518.1446533203125, 339.3918762207031], [1682.230224609375, 565.7070922851562], [1686.27978515625, 643.4591674804688]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [669.3580322265625, 510.0260009765625], [674.499267578125, 554.6534423828125], [0.0, 0.0], [630.228271484375, 615.986083984375], [0.0, 0.0], [563.0822143554688, 509.47760009765625], [1184.4190673828125, 493.48590087890625], [1189.6785888671875, 551.6473388671875], [1477.12451171875, 326.23370361328125], [1517.888427734375, 339.6298828125], [1685.82080078125, 562.7404174804688], [1687.052490234375, 638.6256103515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.6287841796875, 507.1017150878906], [673.5401000976562, 554.250244140625], [0.0, 0.0], [616.2017822265625, 619.9323120117188], [0.0, 0.0], [555.927001953125, 506.7547302246094], [1182.0400390625, 494.2803955078125], [1186.866943359375, 554.23486328125], [1477.8487548828125, 325.14752197265625], [1519.45458984375, 340.1572265625], [1683.1402587890625, 564.1004028320312], [1686.203857421875, 642.162353515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.132080078125, 507.86077880859375], [670.922119140625, 554.2470703125], [0.0, 0.0], [614.455078125, 620.48193359375], [0.0, 0.0], [557.4142456054688, 507.88568115234375], [1178.0960693359375, 496.51708984375], [1183.3931884765625, 556.4606323242188], [1475.9893798828125, 323.65838623046875], [1517.030517578125, 338.4483337402344], [1681.17919921875, 565.5663452148438], [1685.9036865234375, 642.35107421875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.3128051757812, 507.6777648925781], [671.1221313476562, 554.549072265625], [0.0, 0.0], [615.4463500976562, 619.2891845703125], [0.0, 0.0], [555.9762573242188, 507.21368408203125], [1178.4598388671875, 495.98150634765625], [1183.8341064453125, 556.1644287109375], [1477.1015625, 323.6483154296875], [1518.1446533203125, 339.3918762207031], [1682.230224609375, 565.7070922851562], [1686.27978515625, 643.4591674804688]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.75048828125, 509.67498779296875], [678.3153686523438, 553.6514892578125], [0.0, 0.0], [620.4166870117188, 624.017578125], [0.0, 0.0], [550.7173461914062, 507.12799072265625], [1182.3499755859375, 495.9165344238281], [1191.62646484375, 553.7249755859375], [1481.114501953125, 328.55194091796875], [1523.4130859375, 337.9520568847656], [1690.487548828125, 567.4307861328125], [1690.457275390625, 644.6033935546875]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.6287841796875, 507.1017150878906], [673.5401000976562, 554.250244140625], [0.0, 0.0], [616.2017822265625, 619.9323120117188], [0.0, 0.0], [555.927001953125, 506.7547302246094], [1182.0400390625, 494.2803955078125], [1186.866943359375, 554.23486328125], [1477.8487548828125, 325.14752197265625], [1519.45458984375, 340.1572265625], [1683.1402587890625, 564.1004028320312], [1686.203857421875, 642.162353515625]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.132080078125, 507.86077880859375], [670.922119140625, 554.2470703125], [0.0, 0.0], [614.455078125, 620.48193359375], [0.0, 0.0], [557.4142456054688, 507.88568115234375], [1178.0960693359375, 496.51708984375], [1183.3931884765625, 556.4606323242188], [1475.9893798828125, 323.65838623046875], [1517.030517578125, 338.4483337402344], [1681.17919921875, 565.5663452148438], [1685.9036865234375, 642.35107421875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.3128051757812, 507.6777648925781], [671.1221313476562, 554.549072265625], [0.0, 0.0], [615.4463500976562, 619.2891845703125], [0.0, 0.0], [555.9762573242188, 507.21368408203125], [1178.4598388671875, 495.98150634765625], [1183.8341064453125, 556.1644287109375], [1477.1015625, 323.6483154296875], [1518.1446533203125, 339.3918762207031], [1682.230224609375, 565.7070922851562], [1686.27978515625, 643.4591674804688]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.75048828125, 509.67498779296875], [678.3153686523438, 553.6514892578125], [0.0, 0.0], [620.4166870117188, 624.017578125], [0.0, 0.0], [550.7173461914062, 507.12799072265625], [1182.3499755859375, 495.9165344238281], [1191.62646484375, 553.7249755859375], [1481.114501953125, 328.55194091796875], [1523.4130859375, 337.9520568847656], [1690.487548828125, 567.4307861328125], [1690.457275390625, 644.6033935546875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.33154296875, 510.4109802246094], [681.1748046875, 552.2785034179688], [0.0, 0.0], [622.7105102539062, 629.5921630859375], [0.0, 0.0], [553.011962890625, 505.048828125], [1185.204833984375, 494.95428466796875], [1194.9130859375, 551.7484741210938], [1482.13525390625, 326.24212646484375], [1527.0435791015625, 335.2311096191406], [1689.157958984375, 565.7069702148438], [1690.775634765625, 642.5745849609375]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.132080078125, 507.86077880859375], [670.922119140625, 554.2470703125], [0.0, 0.0], [614.455078125, 620.48193359375], [0.0, 0.0], [557.4142456054688, 507.88568115234375], [1178.0960693359375, 496.51708984375], [1183.3931884765625, 556.4606323242188], [1475.9893798828125, 323.65838623046875], [1517.030517578125, 338.4483337402344], [1681.17919921875, 565.5663452148438], [1685.9036865234375, 642.35107421875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.3128051757812, 507.6777648925781], [671.1221313476562, 554.549072265625], [0.0, 0.0], [615.4463500976562, 619.2891845703125], [0.0, 0.0], [555.9762573242188, 507.21368408203125], [1178.4598388671875, 495.98150634765625], [1183.8341064453125, 556.1644287109375], [1477.1015625, 323.6483154296875], [1518.1446533203125, 339.3918762207031], [1682.230224609375, 565.7070922851562], [1686.27978515625, 643.4591674804688]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.75048828125, 509.67498779296875], [678.3153686523438, 553.6514892578125], [0.0, 0.0], [620.4166870117188, 624.017578125], [0.0, 0.0], [550.7173461914062, 507.12799072265625], [1182.3499755859375, 495.9165344238281], [1191.62646484375, 553.7249755859375], [1481.114501953125, 328.55194091796875], [1523.4130859375, 337.9520568847656], [1690.487548828125, 567.4307861328125], [1690.457275390625, 644.6033935546875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.33154296875, 510.4109802246094], [681.1748046875, 552.2785034179688], [0.0, 0.0], [622.7105102539062, 629.5921630859375], [0.0, 0.0], [553.011962890625, 505.048828125], [1185.204833984375, 494.95428466796875], [1194.9130859375, 551.7484741210938], [1482.13525390625, 326.24212646484375], [1527.0435791015625, 335.2311096191406], [1689.157958984375, 565.7069702148438], [1690.775634765625, 642.5745849609375]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [670.6580810546875, 509.45867919921875], [679.9974975585938, 553.1365966796875], [0.0, 0.0], [619.94921875, 630.2606201171875], [0.0, 0.0], [549.9976196289062, 504.01751708984375], [1184.50830078125, 494.5111083984375], [1194.269775390625, 552.2403564453125], [1482.296142578125, 326.2971496582031], [1527.127197265625, 336.1106872558594], [1689.108154296875, 565.6820678710938], [1690.3524169921875, 643.5661010742188]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.3128051757812, 507.6777648925781], [671.1221313476562, 554.549072265625], [0.0, 0.0], [615.4463500976562, 619.2891845703125], [0.0, 0.0], [555.9762573242188, 507.21368408203125], [1178.4598388671875, 495.98150634765625], [1183.8341064453125, 556.1644287109375], [1477.1015625, 323.6483154296875], [1518.1446533203125, 339.3918762207031], [1682.230224609375, 565.7070922851562], [1686.27978515625, 643.4591674804688]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.75048828125, 509.67498779296875], [678.3153686523438, 553.6514892578125], [0.0, 0.0], [620.4166870117188, 624.017578125], [0.0, 0.0], [550.7173461914062, 507.12799072265625], [1182.3499755859375, 495.9165344238281], [1191.62646484375, 553.7249755859375], [1481.114501953125, 328.55194091796875], [1523.4130859375, 337.9520568847656], [1690.487548828125, 567.4307861328125], [1690.457275390625, 644.6033935546875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.33154296875, 510.4109802246094], [681.1748046875, 552.2785034179688], [0.0, 0.0], [622.7105102539062, 629.5921630859375], [0.0, 0.0], [553.011962890625, 505.048828125], [1185.204833984375, 494.95428466796875], [1194.9130859375, 551.7484741210938], [1482.13525390625, 326.24212646484375], [1527.0435791015625, 335.2311096191406], [1689.157958984375, 565.7069702148438], [1690.775634765625, 642.5745849609375]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [670.6580810546875, 509.45867919921875], [679.9974975585938, 553.1365966796875], [0.0, 0.0], [619.94921875, 630.2606201171875], [0.0, 0.0], [549.9976196289062, 504.01751708984375], [1184.50830078125, 494.5111083984375], [1194.269775390625, 552.2403564453125], [1482.296142578125, 326.2971496582031], [1527.127197265625, 336.1106872558594], [1689.108154296875, 565.6820678710938], [1690.3524169921875, 643.5661010742188]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [579.54736328125, 510.4430236816406], [664.31005859375, 502.2265319824219], [668.1182861328125, 559.005615234375], [0.0, 0.0], [598.1495971679688, 607.5137329101562], [0.0, 0.0], [526.8294677734375, 498.2694396972656], [1173.094482421875, 490.80120849609375], [1180.204345703125, 556.470947265625], [1484.8092041015625, 318.91473388671875], [1523.251953125, 339.9663391113281], [1689.911865234375, 568.32763671875], [1690.993408203125, 651.4010009765625]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [668.75048828125, 509.67498779296875], [678.3153686523438, 553.6514892578125], [0.0, 0.0], [620.4166870117188, 624.017578125], [0.0, 0.0], [550.7173461914062, 507.12799072265625], [1182.3499755859375, 495.9165344238281], [1191.62646484375, 553.7249755859375], [1481.114501953125, 328.55194091796875], [1523.4130859375, 337.9520568847656], [1690.487548828125, 567.4307861328125], [1690.457275390625, 644.6033935546875]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.33154296875, 510.4109802246094], [681.1748046875, 552.2785034179688], [0.0, 0.0], [622.7105102539062, 629.5921630859375], [0.0, 0.0], [553.011962890625, 505.048828125], [1185.204833984375, 494.95428466796875], [1194.9130859375, 551.7484741210938], [1482.13525390625, 326.24212646484375], [1527.0435791015625, 335.2311096191406], [1689.157958984375, 565.7069702148438], [1690.775634765625, 642.5745849609375]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [670.6580810546875, 509.45867919921875], [679.9974975585938, 553.1365966796875], [0.0, 0.0], [619.94921875, 630.2606201171875], [0.0, 0.0], [549.9976196289062, 504.01751708984375], [1184.50830078125, 494.5111083984375], [1194.269775390625, 552.2403564453125], [1482.296142578125, 326.2971496582031], [1527.127197265625, 336.1106872558594], [1689.108154296875, 565.6820678710938], [1690.3524169921875, 643.5661010742188]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [579.54736328125, 510.4430236816406], [664.31005859375, 502.2265319824219], [668.1182861328125, 559.005615234375], [0.0, 0.0], [598.1495971679688, 607.5137329101562], [0.0, 0.0], [526.8294677734375, 498.2694396972656], [1173.094482421875, 490.80120849609375], [1180.204345703125, 556.470947265625], [1484.8092041015625, 318.91473388671875], [1523.251953125, 339.9663391113281], [1689.911865234375, 568.32763671875], [1690.993408203125, 651.4010009765625]]","[[618.6749267578125, 463.41357421875], [0.0, 0.0], [596.449462890625, 464.62591552734375], [0.0, 0.0], [575.8330688476562, 508.3699035644531], [664.200439453125, 505.91790771484375], [666.986328125, 551.1563720703125], [0.0, 0.0], [604.49462890625, 560.6973266601562], [0.0, 0.0], [499.9835205078125, 481.9674072265625], [1168.5137939453125, 488.5528564453125], [1174.3929443359375, 548.957275390625], [1486.01171875, 319.35565185546875], [1520.7513427734375, 340.6322937011719], [1683.5306396484375, 568.4864501953125], [1684.828369140625, 651.5555419921875]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [671.33154296875, 510.4109802246094], [681.1748046875, 552.2785034179688], [0.0, 0.0], [622.7105102539062, 629.5921630859375], [0.0, 0.0], [553.011962890625, 505.048828125], [1185.204833984375, 494.95428466796875], [1194.9130859375, 551.7484741210938], [1482.13525390625, 326.24212646484375], [1527.0435791015625, 335.2311096191406], [1689.157958984375, 565.7069702148438], [1690.775634765625, 642.5745849609375]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [670.6580810546875, 509.45867919921875], [679.9974975585938, 553.1365966796875], [0.0, 0.0], [619.94921875, 630.2606201171875], [0.0, 0.0], [549.9976196289062, 504.01751708984375], [1184.50830078125, 494.5111083984375], [1194.269775390625, 552.2403564453125], [1482.296142578125, 326.2971496582031], [1527.127197265625, 336.1106872558594], [1689.108154296875, 565.6820678710938], [1690.3524169921875, 643.5661010742188]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [579.54736328125, 510.4430236816406], [664.31005859375, 502.2265319824219], [668.1182861328125, 559.005615234375], [0.0, 0.0], [598.1495971679688, 607.5137329101562], [0.0, 0.0], [526.8294677734375, 498.2694396972656], [1173.094482421875, 490.80120849609375], [1180.204345703125, 556.470947265625], [1484.8092041015625, 318.91473388671875], [1523.251953125, 339.9663391113281], [1689.911865234375, 568.32763671875], [1690.993408203125, 651.4010009765625]]","[[618.6749267578125, 463.41357421875], [0.0, 0.0], [596.449462890625, 464.62591552734375], [0.0, 0.0], [575.8330688476562, 508.3699035644531], [664.200439453125, 505.91790771484375], [666.986328125, 551.1563720703125], [0.0, 0.0], [604.49462890625, 560.6973266601562], [0.0, 0.0], [499.9835205078125, 481.9674072265625], [1168.5137939453125, 488.5528564453125], [1174.3929443359375, 548.957275390625], [1486.01171875, 319.35565185546875], [1520.7513427734375, 340.6322937011719], [1683.5306396484375, 568.4864501953125], [1684.828369140625, 651.5555419921875]]","[[618.6466064453125, 463.5786437988281], [0.0, 0.0], [596.5907592773438, 464.56134033203125], [0.0, 0.0], [576.2711791992188, 508.0221862792969], [664.348876953125, 505.8454284667969], [667.31787109375, 551.545654296875], [0.0, 0.0], [605.1270751953125, 563.6544799804688], [0.0, 0.0], [500.8294372558594, 482.567138671875], [1169.0955810546875, 488.5054931640625], [1175.175048828125, 549.100830078125], [1486.387451171875, 319.4971923828125], [1521.2244873046875, 340.77703857421875], [1685.0526123046875, 567.9925537109375], [1686.1168212890625, 651.4156494140625]]"
"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [670.6580810546875, 509.45867919921875], [679.9974975585938, 553.1365966796875], [0.0, 0.0], [619.94921875, 630.2606201171875], [0.0, 0.0], [549.9976196289062, 504.01751708984375], [1184.50830078125, 494.5111083984375], [1194.269775390625, 552.2403564453125], [1482.296142578125, 326.2971496582031], [1527.127197265625, 336.1106872558594], [1689.108154296875, 565.6820678710938], [1690.3524169921875, 643.5661010742188]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [579.54736328125, 510.4430236816406], [664.31005859375, 502.2265319824219], [668.1182861328125, 559.005615234375], [0.0, 0.0], [598.1495971679688, 607.5137329101562], [0.0, 0.0], [526.8294677734375, 498.2694396972656], [1173.094482421875, 490.80120849609375], [1180.204345703125, 556.470947265625], [1484.8092041015625, 318.91473388671875], [1523.251953125, 339.9663391113281], [1689.911865234375, 568.32763671875], [1690.993408203125, 651.4010009765625]]","[[618.6749267578125, 463.41357421875], [0.0, 0.0], [596.449462890625, 464.62591552734375], [0.0, 0.0], [575.8330688476562, 508.3699035644531], [664.200439453125, 505.91790771484375], [666.986328125, 551.1563720703125], [0.0, 0.0], [604.49462890625, 560.6973266601562], [0.0, 0.0], [499.9835205078125, 481.9674072265625], [1168.5137939453125, 488.5528564453125], [1174.3929443359375, 548.957275390625], [1486.01171875, 319.35565185546875], [1520.7513427734375, 340.6322937011719], [1683.5306396484375, 568.4864501953125], [1684.828369140625, 651.5555419921875]]","[[618.6466064453125, 463.5786437988281], [0.0, 0.0], [596.5907592773438, 464.56134033203125], [0.0, 0.0], [576.2711791992188, 508.0221862792969], [664.348876953125, 505.8454284667969], [667.31787109375, 551.545654296875], [0.0, 0.0], [605.1270751953125, 563.6544799804688], [0.0, 0.0], [500.8294372558594, 482.567138671875], [1169.0955810546875, 488.5054931640625], [1175.175048828125, 549.100830078125], [1486.387451171875, 319.4971923828125], [1521.2244873046875, 340.77703857421875], [1685.0526123046875, 567.9925537109375], [1686.1168212890625, 651.4156494140625]]","[[619.9005126953125, 461.9691467285156], [0.0, 0.0], [597.5022583007812, 463.3039855957031], [0.0, 0.0], [577.36474609375, 506.72613525390625], [664.3275756835938, 503.6976318359375], [668.3721313476562, 551.6954345703125], [0.0, 0.0], [603.5590209960938, 572.7156982421875], [0.0, 0.0], [506.10430908203125, 481.60662841796875], [1169.22607421875, 489.6900329589844], [1176.0908203125, 551.0096435546875], [1488.6424560546875, 322.5430908203125], [1524.810546875, 340.63623046875], [1685.950927734375, 569.6771850585938], [1686.5496826171875, 650.5379638671875]]"
